"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.41600001,,
"NLD","Netherlands","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.417,,
"NZL","New Zealand","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.509,,
"NZL","New Zealand","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.50599998,,
"NZL","New Zealand","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.51300001,,
"NZL","New Zealand","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.50700003,,
"POL","Poland","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.37200001,,
"POL","Poland","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.37099999,,
"POL","Poland","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.38499999,,
"POL","Poland","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.39700001,,
"PRT","Portugal","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.389,,
"PRT","Portugal","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.38800001,,
"PRT","Portugal","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.396,,
"PRT","Portugal","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.38299999,,
"SVK","Slovak Republic","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.35699999,,
"SVK","Slovak Republic","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.35800001,,
"SVK","Slovak Republic","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.35800001,,
"SVK","Slovak Republic","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.36000001,,
"ESP","Spain","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.34200001,,
"ESP","Spain","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.34599999,,
"ESP","Spain","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.34400001,,
"ESP","Spain","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.34599999,,
"TUR","Turkey","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.38499999,,
"TUR","Turkey","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.38699999,,
"TUR","Turkey","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.39199999,,
"TUR","Turkey","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.38299999,,
"GBR","United Kingdom","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.37900001,,
"GBR","United Kingdom","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.382,,
"GBR","United Kingdom","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.38800001,,
"GBR","United Kingdom","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.38800001,,
"USA","United States","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.28400001,,
"USA","United States","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.28,,
"USA","United States","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.27200001,,
"USA","United States","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.26800001,,
"SVN","Slovenia","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.45899999,,
"SVN","Slovenia","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.472,,
"SVN","Slovenia","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.48300001,,
"SVN","Slovenia","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.49700001,,
"EST","Estonia","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.33899999,,
"EST","Estonia","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.32100001,,
"EST","Estonia","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.31600001,,
"EST","Estonia","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.32600001,,
"LTU","Lithuania","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.36199999,,
"LTU","Lithuania","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.35100001,,
"LTU","Lithuania","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.347,,
"LTU","Lithuania","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.403,,
"ROU","Romania","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.308,,
"ROU","Romania","MEAN","Mean","2011","2011","RATIO","Ratio","0","units",,,0.331,,
"ROU","Romania","MEAN","Mean","2012","2012","RATIO","Ratio","0","units",,,0.32499999,,
"ROU","Romania","MEAN","Mean","2013","2013","RATIO","Ratio","0","units",,,0.34200001,,
"LVA","Latvia","MEAN","Mean","2010","2010","RATIO","Ratio","0","units",,,0.36700001,,
